epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,26889.7,0.03543,0.07594,0.90118,0.99887,0.99946,0.995,0.97948,0.25403,0.85548,0.34498,0.005743,0.005743,0.005743
45,27045.8,0.03446,0.06797,0.9017,0.99875,0.99891,0.995,0.98596,0.2574,0.84106,0.34554,0.005644,0.005644,0.005644
46,27200.3,0.03269,0.0708,0.89961,0.99916,0.99931,0.995,0.99059,0.25918,0.86638,0.35184,0.005545,0.005545,0.005545
47,27359.3,0.03283,0.06604,0.90229,0.99937,0.9989,0.995,0.98276,0.24425,0.84471,0.33154,0.005446,0.005446,0.005446
48,27512,0.03362,0.06446,0.90152,0.99949,0.99969,0.995,0.99165,0.24285,0.85981,0.32836,0.005347,0.005347,0.005347
49,27665.2,0.03313,0.06764,0.90207,0.99923,0.99935,0.995,0.99457,0.24464,0.83522,0.33465,0.005248,0.005248,0.005248
50,27819.9,0.03233,0.06326,0.90467,0.99946,0.99902,0.995,0.98923,0.23365,0.82846,0.32072,0.005149,0.005149,0.005149
51,27976.9,0.03105,0.06147,0.9024,0.99964,0.99916,0.995,0.99177,0.2308,0.8694,0.3131,0.00505,0.00505,0.00505
52,28134,0.03138,0.05994,0.89929,0.9991,0.99919,0.995,0.97584,0.23175,0.89974,0.31342,0.004951,0.004951,0.004951
53,38656.9,0.03018,0.0581,0.9004,0.99918,0.99974,0.995,0.99192,0.23282,0.8935,0.31447,0.004852,0.004852,0.004852
54,38802.1,0.03003,0.05575,0.89805,0.99897,0.99973,0.995,0.99124,0.22947,0.87479,0.31055,0.004753,0.004753,0.004753
55,38961,0.02862,0.05647,0.8998,0.99922,0.9997,0.995,0.99016,0.23208,0.8957,0.31578,0.004654,0.004654,0.004654
56,39122.6,0.02912,0.05785,0.89827,0.99905,0.99985,0.995,0.98641,0.23972,0.89662,0.32284,0.004555,0.004555,0.004555
57,39289.1,0.02874,0.05976,0.89876,0.99919,0.99969,0.995,0.98998,0.24063,0.8821,0.32642,0.004456,0.004456,0.004456
58,39453.9,0.0274,0.05646,0.90046,0.99924,0.99971,0.995,0.9872,0.22895,0.88155,0.31274,0.004357,0.004357,0.004357
59,39621.3,0.02727,0.05357,0.8993,0.9991,0.99997,0.995,0.99246,0.22544,0.89771,0.30676,0.004258,0.004258,0.004258
60,39793,0.02713,0.05292,0.8995,0.99924,0.99975,0.995,0.98682,0.22564,0.9106,0.30599,0.004159,0.004159,0.004159
61,39964.2,0.02648,0.04799,0.89845,0.99925,0.99933,0.995,0.99349,0.22647,0.88541,0.30701,0.00406,0.00406,0.00406
62,40138.7,0.02634,0.04809,0.89839,0.99907,0.99989,0.99499,0.99242,0.22412,0.90331,0.3057,0.003961,0.003961,0.003961
63,40317.1,0.02548,0.04736,0.90092,0.99924,0.99969,0.99497,0.99481,0.22812,0.8923,0.31111,0.003862,0.003862,0.003862
64,40497.5,inf,0.04554,0.89851,0.99925,0.99971,0.995,0.99294,0.22732,0.90106,0.30814,0.003763,0.003763,0.003763
65,40677,0.02512,0.04746,0.89592,0.99927,0.9997,0.995,0.99164,0.22453,0.90334,0.30361,0.003664,0.003664,0.003664
66,40853.6,0.02438,0.04446,0.90132,0.99931,0.99944,0.995,0.98884,0.22133,0.91313,0.29794,0.003565,0.003565,0.003565
67,41033.7,inf,0.04546,0.89744,0.99932,0.99942,0.995,0.98978,0.22049,0.91977,0.29766,0.003466,0.003466,0.003466
68,41213.2,0.02436,0.0437,0.89587,0.99935,0.99937,0.995,0.98606,0.22088,0.90948,0.29854,0.003367,0.003367,0.003367
69,41393.4,0.02357,0.03879,0.8998,0.99956,0.99963,0.995,0.98415,0.2222,0.91386,0.30001,0.003268,0.003268,0.003268
70,41574.6,0.02268,0.04043,0.89863,0.9993,0.99974,0.995,0.98334,0.22145,0.91628,0.29911,0.003169,0.003169,0.003169
